date,timeframe,side,entry_time,entry,exit_time,exit,exit_reason,pnl_pts,vix_at_entry,vix_bucket
2015-01-09,5,SHORT,2015-01-09 09:26:00,8294.9,2015-01-09 15:29:00,8280.25,EOD,14.6,15.42,>15
2015-01-12,5,LONG,2015-01-12 09:22:00,8270.45,2015-01-12 15:29:00,8326.55,EOD,56.1,16.52,>15
2015-01-13,5,LONG,2015-01-13 09:21:00,8340.8,2015-01-13 14:34:00,8300.8,SL,-40.0,15.88,>15
2015-01-13,5,SHORT,2015-01-13 14:41:00,8301.95,2015-01-13 15:29:00,8303.8,EOD,-1.8,16.67,>15
2015-01-14,5,SHORT,2015-01-14 09:21:00,8302.1,2015-01-14 15:29:00,8287.75,EOD,14.4,16.65,>15
2015-01-15,5,LONG,2015-01-15 09:24:00,8428.0,2015-01-15 14:33:00,8508.0,TP,80.0,15.83,>15
2015-01-15,5,LONG,2015-01-15 14:36:00,8510.75,2015-01-15 15:23:00,8470.75,SL,-40.0,15.87,>15
2015-01-19,5,LONG,2015-01-19 09:41:00,8550.1,2015-01-19 15:29:00,8550.3,EOD,0.2,18.22,>15
2015-01-20,5,LONG,2015-01-20 09:23:00,8585.0,2015-01-20 14:22:00,8665.0,TP,80.0,16.96,>15
2015-01-20,5,LONG,2015-01-20 14:34:00,8664.4,2015-01-20 15:29:00,8691.25,EOD,26.9,16.88,>15
2015-01-21,5,LONG,2015-01-21 09:21:00,8711.65,2015-01-21 15:29:00,8728.05,EOD,16.4,17.2,>15
2015-01-22,5,LONG,2015-01-22 09:28:00,8744.95,2015-01-22 15:29:00,8762.2,EOD,17.2,17.94,>15
2015-01-23,5,LONG,2015-01-23 09:21:00,8860.25,2015-01-23 10:24:00,8820.25,SL,-40.0,17.43,>15
2015-01-23,5,LONG,2015-01-23 11:53:00,8818.35,2015-01-23 15:29:00,8823.55,EOD,5.2,18.15,>15
2015-01-27,5,LONG,2015-01-27 09:25:00,8847.75,2015-01-27 15:29:00,8904.2,EOD,56.5,17.94,>15
2015-01-28,5,LONG,2015-01-28 09:21:00,8905.7,2015-01-28 15:29:00,8906.8,EOD,1.1,18.46,>15
2015-01-29,5,SHORT,2015-01-29 09:21:00,8863.35,2015-01-29 12:11:00,8903.35,SL,-40.0,20.42,>15
2015-01-29,5,SHORT,2015-01-29 12:51:00,8877.5,2015-01-29 15:00:00,8917.5,SL,-40.0,20.32,>15
2015-01-29,5,LONG,2015-01-29 15:01:00,8922.65,2015-01-29 15:29:00,8950.2,EOD,27.6,19.51,>15
2015-01-30,5,LONG,2015-01-30 09:24:00,8961.3,2015-01-30 09:50:00,8921.3,SL,-40.0,19.75,>15
2015-01-30,5,LONG,2015-01-30 10:12:00,8931.95,2015-01-30 11:08:00,8891.95,SL,-40.0,20.87,>15
2015-01-30,5,SHORT,2015-01-30 11:27:00,8872.45,2015-01-30 14:21:00,8792.45,TP,80.0,20.58,>15
2015-02-02,5,SHORT,2015-02-02 09:22:00,8790.05,2015-02-02 13:38:00,8830.05,SL,-40.0,21.13,>15
2015-02-02,5,LONG,2015-02-02 13:57:00,8818.55,2015-02-02 14:47:00,8778.55,SL,-40.0,20.8,>15
2015-02-02,5,LONG,2015-02-02 15:06:00,8804.8,2015-02-02 15:29:00,8798.15,EOD,-6.6,20.45,>15
2015-02-03,5,LONG,2015-02-03 09:26:00,8820.1,2015-02-03 11:00:00,8780.1,SL,-40.0,20.27,>15
