timeframe,vix_bucket,trades,win_rate,avg_pnl_pts,total_pnl_pts,profit_factor,max_dd_pts,dd_start,dd_end,cagr_pct,sharpe_like,max_win_streak,max_loss_streak
60,ALL,2943,52.191641182466874,9.00471287801562,26500.869999999974,1.4389768497835744,752.1800000000003,03/18/2021,08/10/2021,3.14428299705507,2.583208307984376,9,8
15,ALL,6209,44.64487034949267,5.9607150909969375,37010.07999999999,1.394781977031013,795.2200000000157,04/21/2025,06/05/2025,3.66832076475736,3.1775310136698764,9,12
5,ALL,7702,37.782394183329004,2.095283043365368,16137.870000000064,1.1828319858174356,1574.3700000000026,01/18/2024,09/19/2024,1.5713854401073535,1.812708323377133,7,16
