timeframe,vix_bucket,trades,win_rate,avg_pnl_pts,total_pnl_pts,profit_factor,max_dd_pts,dd_start,dd_end,cagr_pct,sharpe_like,max_win_streak,max_loss_streak
60,ALL,2709,53.672942045035064,9.292476928755988,25173.31999999997,1.4184177252745986,766.0200000000004,03/18/2021,08/10/2021,2.9839232512360425,2.4279727991161257,11,8
15,ALL,4175,49.293413173652695,8.164488622754481,34086.73999999996,1.3803933502802554,834.8099999999977,04/22/2025,06/04/2025,3.372014440493798,2.6912198997212693,10,12
5,ALL,4999,45.46909381876375,4.654974994999004,23270.220000000023,1.2028218554999894,1238.0699999999888,06/07/2024,09/19/2024,2.2705610994825154,1.7360675358919277,10,11
