date,timeframe,side,entry_time,entry,exit_time,exit,exit_reason,pnl_pts,vix_at_entry,vix_bucket
2015-01-09,60,SHORT,2015-01-09 12:01:00,8256.05,2015-01-09 15:29:00,8280.25,EOD,-24.2,16.18,>15
2015-01-12,60,SHORT,2015-01-12 13:03:00,8270.5,2015-01-12 15:29:00,8326.55,EOD,-56.0,17.26,>15
2015-01-13,60,LONG,2015-01-13 10:05:00,8340.2,2015-01-13 15:29:00,8303.8,EOD,-36.4,16.21,>15
2015-01-15,60,LONG,2015-01-15 11:04:00,8419.6,2015-01-15 14:31:00,8500.78,TP,81.2,15.86,>15
2015-01-19,60,LONG,2015-01-19 10:01:00,8555.15,2015-01-19 15:29:00,8550.3,EOD,-4.9,18.05,>15
2015-01-20,60,LONG,2015-01-20 10:01:00,8592.8,2015-01-20 14:45:00,8684.619999999999,TP,91.8,16.97,>15
2015-01-20,60,LONG,2015-01-20 15:02:00,8697.85,2015-01-20 15:29:00,8691.25,EOD,-6.6,17.31,>15
2015-01-21,60,LONG,2015-01-21 10:02:00,8736.5,2015-01-21 11:05:00,8696.5,SL,-40.0,17.46,>15
2015-01-21,60,LONG,2015-01-21 12:01:00,8721.95,2015-01-21 15:29:00,8728.05,EOD,6.1,17.8,>15
2015-01-22,60,LONG,2015-01-22 10:13:00,8760.6,2015-01-22 15:29:00,8762.2,EOD,1.6,17.99,>15
2015-01-23,60,LONG,2015-01-23 10:01:00,8855.0,2015-01-23 10:25:00,8815.0,SL,-40.0,17.92,>15
2015-01-23,60,LONG,2015-01-23 11:01:00,8807.25,2015-01-23 15:29:00,8823.55,EOD,16.3,18.65,>15
2015-01-27,60,LONG,2015-01-27 10:05:00,8857.7,2015-01-27 15:29:00,8904.2,EOD,46.5,18.24,>15
2015-01-28,60,LONG,2015-01-28 10:02:00,8903.6,2015-01-28 12:33:00,8983.6,TP,80.0,18.71,>15
2015-01-28,60,LONG,2015-01-28 13:08:00,8928.3,2015-01-28 14:20:00,8888.3,SL,-40.0,19.16,>15
2015-01-28,60,LONG,2015-01-28 15:01:00,8903.35,2015-01-28 15:29:00,8906.8,EOD,3.4,19.98,>15
2015-01-29,60,LONG,2015-01-29 10:01:00,8884.1,2015-01-29 15:11:00,8964.1,TP,80.0,19.78,>15
2015-01-30,60,LONG,2015-01-30 10:01:00,8928.4,2015-01-30 11:09:00,8888.26,SL,-40.1,21.08,>15
2015-02-04,60,SHORT,2015-02-04 12:04:00,8755.05,2015-02-04 15:29:00,8713.95,EOD,41.1,20.02,>15
2015-02-05,60,SHORT,2015-02-05 10:51:00,8740.6,2015-02-05 13:15:00,8783.83,SL,-43.2,20.34,>15
2015-02-05,60,SHORT,2015-02-05 15:01:00,8755.6,2015-02-05 15:29:00,8699.4,EOD,56.2,20.25,>15
2015-02-06,60,SHORT,2015-02-06 10:07:00,8705.1,2015-02-06 15:29:00,8666.0,EOD,39.1,20.69,>15
2015-02-09,60,SHORT,2015-02-09 10:01:00,8568.65,2015-02-09 15:29:00,8518.3,EOD,50.4,21.52,>15
2015-02-10,60,SHORT,2015-02-10 10:01:00,8571.55,2015-02-10 11:18:00,8620.0,SL,-48.5,21.26,>15
2015-02-10,60,SHORT,2015-02-10 12:02:00,8611.5,2015-02-10 14:01:00,8519.38,TP,92.1,20.63,>15
2015-02-10,60,SHORT,2015-02-10 15:01:00,8569.1,2015-02-10 15:29:00,8578.85,EOD,-9.8,21.06,>15
2015-02-11,60,SHORT,2015-02-11 10:45:00,8605.6,2015-02-11 15:29:00,8635.5,EOD,-29.9,21.0,>15
2015-02-12,60,SHORT,2015-02-12 12:01:00,8615.05,2015-02-12 14:18:00,8662.98,SL,-47.9,20.88,>15
2015-02-13,60,LONG,2015-02-13 13:02:00,8789.1,2015-02-13 15:29:00,8803.05,EOD,13.9,20.2,>15
2015-02-16,60,LONG,2015-02-16 10:02:00,8846.4,2015-02-16 15:12:00,8806.4,SL,-40.0,20.5,>15
2015-02-18,60,LONG,2015-02-18 10:01:00,8845.4,2015-02-18 15:29:00,8865.25,EOD,19.9,21.47,>15
2015-02-19,60,LONG,2015-02-19 10:01:00,8893.45,2015-02-19 10:41:00,8853.45,SL,-40.0,20.8,>15
2015-02-19,60,LONG,2015-02-19 11:54:00,8839.1,2015-02-19 14:06:00,8799.1,SL,-40.0,21.79,>15
2015-02-19,60,LONG,2015-02-19 15:01:00,8869.45,2015-02-19 15:29:00,8898.35,EOD,28.9,20.5,>15
2015-02-20,60,LONG,2015-02-20 10:01:00,8833.8,2015-02-20 15:29:00,8827.7,EOD,-6.1,21.36,>15
2015-02-23,60,LONG,2015-02-23 11:02:00,8848.6,2015-02-23 14:09:00,8804.9,SL,-43.7,21.18,>15
2015-02-25,60,LONG,2015-02-25 11:01:00,8813.75,2015-02-25 14:05:00,8772.0,SL,-41.8,20.98,>15
2015-02-26,60,SHORT,2015-02-26 12:01:00,8739.85,2015-02-26 15:29:00,8694.65,EOD,45.2,20.9,>15
2015-02-27,60,SHORT,2015-02-27 10:01:00,8724.6,2015-02-27 11:36:00,8764.6,SL,-40.0,20.23,>15
2015-02-28,60,LONG,2015-02-28 11:01:00,8911.5,2015-02-28 11:38:00,8871.5,SL,-40.0,18.94,>15
2015-02-28,60,LONG,2015-02-28 12:02:00,8845.8,2015-02-28 12:18:00,8934.279999999999,TP,88.5,18.73,>15
2015-02-28,60,LONG,2015-02-28 13:01:00,8860.0,2015-02-28 13:18:00,8808.75,SL,-51.2,17.5,>15
2015-03-02,60,LONG,2015-03-02 10:01:00,8960.7,2015-03-02 11:22:00,8896.36,SL,-64.3,16.29,>15
2015-03-02,60,LONG,2015-03-02 12:01:00,8902.7,2015-03-02 15:29:00,8961.55,EOD,58.8,16.22,>15
2015-03-03,60,LONG,2015-03-03 10:01:00,8948.8,2015-03-03 15:29:00,8996.75,EOD,48.0,15.9,>15
2015-03-04,60,LONG,2015-03-04 10:01:00,9070.8,2015-03-04 12:04:00,9027.92,SL,-42.9,14.87,12-15
2015-03-04,60,LONG,2015-03-04 13:01:00,9057.1,2015-03-04 14:16:00,9017.1,SL,-40.0,14.61,12-15
2015-03-09,60,SHORT,2015-03-09 15:02:00,8770.4,2015-03-09 15:29:00,8743.25,EOD,27.1,15.71,>15
2015-03-10,60,SHORT,2015-03-10 10:01:00,8751.25,2015-03-10 15:29:00,8725.6,EOD,25.6,15.97,>15
2015-03-11,60,SHORT,2015-03-11 10:01:00,8737.7,2015-03-11 15:29:00,8701.8,EOD,35.9,15.41,>15
2015-03-12,60,SHORT,2015-03-12 10:02:00,8766.45,2015-03-12 15:29:00,8771.4,EOD,-4.9,14.87,12-15
2015-03-13,60,SHORT,2015-03-13 12:03:00,8679.5,2015-03-13 15:29:00,8661.1,EOD,18.4,15.07,>15
2015-03-16,60,SHORT,2015-03-16 10:01:00,8629.35,2015-03-16 15:29:00,8639.6,EOD,-10.2,15.33,>15
2015-03-17,60,SHORT,2015-03-17 13:02:00,8662.55,2015-03-17 15:04:00,8703.289999999999,SL,-40.7,15.28,>15
2015-03-18,60,SHORT,2015-03-18 14:33:00,8686.3,2015-03-18 15:29:00,8680.9,EOD,5.4,15.55,>15
2015-03-19,60,SHORT,2015-03-19 10:13:00,8775.55,2015-03-19 14:47:00,8688.609999999999,TP,86.9,14.65,12-15
