date,pnl_pts,ret_pct_of_base
2015-01-09,-24.2,-0.000242
2015-01-12,-56.0,-0.00056
2015-01-13,-36.4,-0.000364
2015-01-15,81.2,0.000812
2015-01-19,-4.9,-4.9000000000000005e-05
2015-01-20,85.2,0.000852
2015-01-21,-33.9,-0.000339
2015-01-22,1.6,1.6e-05
2015-01-23,-23.7,-0.000237
2015-01-27,46.5,0.000465
2015-01-28,43.4,0.000434
2015-01-29,80.0,0.0008
2015-01-30,-40.1,-0.000401
2015-02-04,41.1,0.000411
2015-02-05,13.0,0.00013
2015-02-06,39.1,0.000391
2015-02-09,50.4,0.000504
2015-02-10,33.8,0.000338
2015-02-11,-29.9,-0.000299
2015-02-12,-47.9,-0.000479
2015-02-13,13.9,0.000139
2015-02-16,-40.0,-0.0004
2015-02-18,19.9,0.00019899999999999999
2015-02-19,-51.1,-0.0005110000000000001
2015-02-20,-6.1,-6.1e-05
2015-02-23,-43.7,-0.00043700000000000005
2015-02-25,-41.8,-0.00041799999999999997
2015-02-26,45.2,0.00045200000000000004
2015-02-27,-40.0,-0.0004
2015-02-28,-2.700000000000003,-2.700000000000003e-05
2015-03-02,-5.5,-5.5e-05
2015-03-03,48.0,0.00048
2015-03-04,-82.9,-0.0008290000000000001
2015-03-09,27.1,0.00027100000000000003
2015-03-10,25.6,0.000256
2015-03-11,35.9,0.000359
2015-03-12,-4.9,-4.9000000000000005e-05
2015-03-13,18.4,0.00018399999999999997
2015-03-16,-10.2,-0.000102
2015-03-17,-40.7,-0.000407
2015-03-18,5.4,5.4000000000000005e-05
2015-03-19,125.80000000000001,0.0012580000000000002
2015-03-20,18.9,0.00018899999999999999
2015-03-23,32.8,0.00032799999999999995
2015-03-24,-40.9,-0.00040899999999999997
2015-03-25,36.2,0.000362
2015-03-26,61.1,0.000611
2015-03-27,-0.3999999999999986,-3.999999999999985e-06
2015-03-30,-42.0,-0.00042
2015-04-06,59.1,0.000591
2015-04-07,-13.900000000000006,-0.00013900000000000004
2015-04-08,13.2,0.00013199999999999998
2015-04-09,66.3,0.000663
2015-04-10,-3.2,-3.2e-05
2015-04-13,46.2,0.000462
2015-04-15,-40.0,-0.0004
2015-04-17,7.0,7e-05
2015-04-20,74.5,0.000745
2015-04-21,40.0,0.0004
2015-04-22,41.400000000000006,0.00041400000000000003
2015-04-23,69.0,0.00069
2015-04-24,32.6,0.000326
2015-04-27,68.1,0.000681
2015-04-28,-45.2,-0.00045200000000000004
2015-04-29,24.4,0.000244
2015-04-30,-71.8,-0.000718
2015-05-04,-48.0,-0.00048
2015-05-06,91.3,0.000913
2015-05-07,38.4,0.000384
2015-05-08,-51.8,-0.000518
2015-05-12,10.399999999999999,0.00010399999999999998
2015-05-13,84.7,0.000847
2015-05-14,-34.5,-0.000345
2015-05-15,2.1,2.1000000000000002e-05
2015-05-18,59.9,0.000599
2015-05-19,8.8,8.800000000000001e-05
2015-05-20,-26.4,-0.00026399999999999997
2015-05-21,13.3,0.000133
2015-05-22,9.2,9.199999999999999e-05
2015-05-25,-40.0,-0.0004
2015-05-27,-15.7,-0.000157
2015-05-28,27.2,0.000272
2015-05-29,11.0,0.00011
2015-06-01,-10.8,-0.00010800000000000001
2015-06-02,-20.0,-0.0002
2015-06-03,63.9,0.000639
2015-06-04,-19.4,-0.000194
2015-06-05,11.300000000000004,0.00011300000000000004
2015-06-08,32.7,0.00032700000000000003
2015-06-09,9.4,9.400000000000001e-05
2015-06-10,-40.0,-0.0004
2015-06-11,63.9,0.000639
2015-06-12,-24.3,-0.000243
2015-06-15,15.9,0.00015900000000000002
2015-06-16,-40.0,-0.0004
2015-06-18,18.6,0.00018600000000000002
2015-06-19,14.3,0.000143
2015-06-22,57.9,0.000579
2015-06-23,1.0,1e-05
2015-06-24,-40.0,-0.0004
2015-06-25,47.3,0.00047299999999999995
2015-06-26,15.0,0.00015
2015-06-29,89.0,0.00089
2015-06-30,42.0,0.00042
2015-07-01,46.2,0.000462
2015-07-02,-21.2,-0.000212
2015-07-03,-0.1,-1e-06
2015-07-06,66.6,0.0006659999999999999
2015-07-07,-33.8,-0.000338
2015-07-09,-26.0,-0.00026
2015-07-10,-40.0,-0.0004
2015-07-14,-6.4,-6.4e-05
2015-07-15,10.6,0.000106
2015-07-16,39.8,0.00039799999999999997
2015-07-17,10.6,0.000106
2015-07-20,21.8,0.000218
2015-07-21,-40.0,-0.0004
2015-07-22,27.5,0.000275
2015-07-23,-54.6,-0.000546
2015-07-27,80.0,0.0008
2015-07-28,29.0,0.00029
2015-07-29,-20.7,-0.000207
2015-07-30,1.1,1.1000000000000001e-05
2015-08-03,-17.1,-0.000171
2015-08-04,14.600000000000001,0.00014600000000000003
2015-08-05,-13.3,-0.000133
2015-08-06,12.8,0.000128
2015-08-07,-13.9,-0.000139
2015-08-10,-40.0,-0.0004
2015-08-12,80.0,0.0008
2015-08-13,9.8,9.800000000000001e-05
2015-08-14,-42.8,-0.000428
2015-08-17,14.8,0.00014800000000000002
2015-08-19,-1.9,-1.8999999999999998e-05
2015-08-20,7.9,7.900000000000001e-05
2015-08-21,-23.199999999999996,-0.00023199999999999995
2015-08-24,152.6,0.001526
2015-08-25,128.6,0.001286
2015-08-26,109.5,0.001095
2015-08-27,-56.6,-0.000566
2015-09-01,121.6,0.0012159999999999999
2015-09-02,115.1,0.001151
2015-09-03,-32.0,-0.00032
2015-09-04,-1.3,-1.3000000000000001e-05
2015-09-07,87.2,0.000872
2015-09-08,-54.1,-0.000541
2015-09-10,-55.6,-0.000556
2015-09-14,37.9,0.000379
2015-09-15,-24.4,-0.000244
2015-09-16,14.9,0.00014900000000000002
2015-09-18,-57.2,-0.000572
2015-09-21,25.8,0.000258
2015-09-22,-44.5,-0.000445
2015-09-23,-9.8,-9.800000000000001e-05
2015-09-24,-35.599999999999994,-0.0003559999999999999
2015-09-28,73.0,0.00073
2015-09-29,-84.4,-0.000844
2015-10-01,4.2,4.2000000000000004e-05
2015-10-05,66.4,0.0006640000000000001
2015-10-06,-16.1,-0.000161
2015-10-07,14.8,0.00014800000000000002
2015-10-08,-40.0,-0.0004
2015-10-09,10.1,0.000101
2015-10-12,-40.0,-0.0004
2015-10-15,5.2,5.2000000000000004e-05
2015-10-16,79.2,0.0007920000000000001
2015-10-19,21.8,0.000218
2015-10-20,-40.0,-0.0004
2015-10-21,-16.7,-0.000167
2015-10-23,-11.4,-0.000114
2015-10-26,-23.6,-0.00023600000000000002
2015-10-29,23.1,0.000231
2015-10-30,56.8,0.0005679999999999999
2015-11-02,-24.8,-0.000248
2015-11-03,33.2,0.00033200000000000005
2015-11-04,61.4,0.000614
2015-11-05,54.4,0.000544
2015-11-06,6.1,6.1e-05
2015-11-09,-63.4,-0.000634
2015-11-10,72.1,0.000721
2015-11-13,-2.5,-2.5e-05
2015-11-16,-80.0,-0.0008
2015-11-17,-40.0,-0.0004
2015-11-18,83.1,0.0008309999999999999
2015-11-19,-80.0,-0.0008
2015-11-23,-12.9,-0.000129
2015-11-24,20.4,0.000204
2015-11-26,-23.2,-0.000232
2015-11-27,14.8,0.00014800000000000002
2015-11-30,1.9,1.8999999999999998e-05
2015-12-01,-3.0,-3e-05
2015-12-02,-41.9,-0.000419
2015-12-04,4.2,4.2000000000000004e-05
2015-12-07,34.1,0.000341
2015-12-08,72.4,0.000724
2015-12-09,80.0,0.0008
2015-12-10,-59.8,-0.000598
2015-12-11,65.7,0.000657
2015-12-14,-65.8,-0.000658
2015-12-15,-40.0,-0.0004
2015-12-17,88.6,0.000886
2015-12-18,-40.0,-0.0004
2015-12-21,22.7,0.000227
2015-12-22,-40.0,-0.0004
